Relative Position,Position X,Position Y,ca-access-point,node14ap,ntua,\x00,ntuax,ntua,CNLab,CNLab,TestCN,ntuax,conference_room,TP-LINK_9FBBEF,TestCN,CNLab,ntuax,ntua,eduroam,Grafeio B.3.19,mlab1,TestCN,\x00,node19ap,ntua,NETMODE_2.4GHz,node20ap,ntua,TestCN,ntuax,ntua,CNLab,ntuax,MAC_Room,\x00,Emmanouella's Home,,CBS,awmn-240,GEOTUN,CNLab,,ntuax,ntua,\x00,ntuax,ntua
Relative Position,Position X,Position Y,2437,2437,2437,2462,2437,2412,2437,2412,2437,2412,2452,2462,2412,2412,2412,2412,2412,2472,2452,2412,2412,2412,2412,2432,2437,2437,2462,2462,2462,2462,2412,2452,2412,2412,2432,2452,2452,2437,2437,2462,2462,2462,2437,2437,2412
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3,00:15:c7:ff:16:a5,00:23:eb:08:cf:c2,00:1e:7a:18:6c:40,00:23:eb:08:cf:c0,00:1e:7a:18:68:00,00:23:eb:08:cf:c1,00:1e:7a:18:68:03,0c:80:63:f5:1b:9c,c4:6e:1f:9f:bb:ef,78:ba:f9:94:79:b1,78:ba:f9:94:79:b0,78:ba:f9:94:79:b2,78:ba:f9:94:79:b3,00:1e:7a:18:6c:41,64:70:02:3c:a4:30,a0:04:60:73:60:d3,00:1e:7a:18:68:01,00:1e:7a:18:68:06,f4:ec:38:ed:14:25,00:1e:7a:18:68:02,e8:de:27:db:10:60,f4:ec:38:ed:10:fc,00:15:c7:ff:16:92,00:15:c7:ff:16:a1,00:15:c7:ff:16:a3,00:15:c7:ff:16:a2,00:15:c7:ff:16:a0,00:1e:7a:18:65:b1,b0:48:7a:bb:cc:6e,00:1e:7a:18:68:05,78:8a:20:21:49:dc,30:b5:c2:23:38:87,68:72:51:3e:d5:a6,00:0b:6b:34:96:a8,64:66:b3:58:27:8c,00:15:c7:ff:16:90,ec:08:6b:ab:73:70,00:26:99:34:3a:d1,00:26:99:34:3a:d0,00:15:c7:ff:16:96,00:15:c7:ff:16:93,00:1e:7a:18:65:b0
5,-3,15,-40,-31,-65,-60,-64,-71,-66,-85,-66,-84,-86,-87,-87,-85,-88,-89,-70,-87,100,-86,-86,-64,-86,-59,-57,100,-67,-64,-67,-63,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-39,-32,-65,-63,-66,-71,-59,-85,-60,-84,-86,-87,-87,-85,-88,-89,-69,-87,100,-86,-86,-63,-86,-58,-59,100,-62,-64,-63,-64,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-34,-34,-69,-63,-68,-67,-64,-85,-66,-83,-86,-87,-87,-85,-88,-89,-73,-87,100,-86,-84,-63,-88,-64,-55,100,-56,-55,-56,-55,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-41,-37,-69,-62,-70,-68,-65,-85,-64,-83,-86,-87,-88,-85,-88,-89,-68,-87,100,-86,-84,-63,-88,-61,-55,100,-61,-61,-68,-60,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-37,-40,-70,-62,-70,-65,-70,-85,-70,-83,-81,-87,-88,-85,-88,-89,-66,-87,100,-86,-85,-63,-87,-60,-60,100,-56,-57,-57,-57,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-36,-33,-71,-57,-69,-65,-68,-85,-68,-83,-89,-87,-88,-85,-88,-89,-66,-87,100,-86,-85,-61,-87,-60,-61,100,-56,-58,-58,-56,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-37,-37,-67,-57,-69,-71,-67,-85,-67,-83,-89,-87,-88,-85,-88,-88,-72,-87,100,-86,-85,-64,-87,-59,-59,100,-62,-59,-62,-60,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-33,-37,-69,-61,-69,-68,-63,-85,-65,-83,-86,-87,-88,-85,-88,-88,-68,-87,100,-86,-85,-64,-87,-58,-55,100,-62,-61,-60,-60,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-37,-33,-65,-61,-66,-75,-62,-83,-63,-86,-86,-87,-88,-85,-87,-85,-75,-87,100,-84,-84,-61,-85,-58,-53,100,-55,-56,-56,-55,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-68,-73,-69,-55,-68,-70,-66,-83,-65,-86,-78,-87,-88,-85,-87,-85,-72,-87,100,-84,-84,-61,-85,-63,-58,100,-56,-57,-58,-58,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-76,-33,-70,-55,-70,-72,-69,-87,-68,-85,-83,-87,-87,-85,-87,-86,-68,-87,-89,-84,-86,-61,-86,-64,-58,100,-53,-54,-54,-55,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
5,-3,15,-34,-36,-65,-65,-66,-72,-73,-87,-72,-85,-86,-87,-87,-85,-87,-86,-68,-87,-89,-84,-86,-61,-86,-62,-58,100,-66,-67,-67,-66,100,-88,100,100,100,-89,-87,-90,100,100,100,100,100,100,100
6,-2,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,-2,15,-40,-31,-71,-58,-72,-67,-62,-87,-65,-85,-85,-87,-87,-85,-87,-86,-68,-87,-89,-83,-83,-61,-84,-57,-58,100,-57,-58,-58,-58,100,-88,100,-89,100,-89,-87,-90,100,100,100,100,100,100,100
6,-2,15,-68,-33,-70,-58,-71,-67,-62,-87,-71,-85,-82,100,-87,100,-85,-86,-67,-87,-89,-80,-83,-62,-81,-59,-57,100,-58,-58,-59,-59,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
6,-2,15,-39,-41,-71,-63,-72,-67,-67,-87,-71,-85,-82,100,-87,100,-85,-86,-67,-87,-89,-80,-83,-62,-81,-59,-56,100,-62,-63,-63,-63,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
6,-2,15,-73,-24,-66,-63,-66,-68,-66,-87,-65,-85,-82,100,-89,100,-88,-86,-67,-87,-89,-80,-83,-65,-84,-56,-56,100,-60,-60,-60,-61,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
6,-2,15,-70,-33,-71,-64,-65,-67,-66,-87,-66,-85,-83,100,-89,100,-88,-86,-67,-87,-89,-80,-83,-63,-84,-58,-56,100,-63,-65,-62,-66,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
6,-2,15,-45,-29,-71,-64,-65,-68,-66,-87,-65,-85,-83,100,-89,100,-88,-86,-67,-87,-89,-83,-82,-64,-80,-60,-56,100,-62,-61,-63,-62,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
6,-2,15,-44,-35,-70,-60,-65,-68,-68,-87,-65,-85,-85,100,-89,100,-88,-86,-69,-87,-89,-83,-82,-69,-80,-57,-55,100,-59,-60,-61,-65,100,-88,100,-89,100,100,-87,100,100,100,100,100,100,100,100
